"--101eced83d19b81f","Захід"
"menu_challenge_cee_3","Протиправні дії"
"menu_challenge_cee_3_desc","Ви коли-небудь перевіряли, чи є в трудових книжках записи про те, що хейстери досягли певних успіхів у роботі? Якщо ні, то, чорт забирай, має бути..."
"menu_challenge_cee_3_objective","Досягніть 250-го рангу в ''Злочинному розгулі''."
"menu_challenge_charliesierra_1","Каналізаційні щури"
"menu_challenge_charliesierra_1_desc","Ми хочемо винести кожну сумку з готівкою з GO Bank якнайшвидше і якнайсильніше, але тримайтеся подалі від очей преси, щоб не потрапити в поле зору журналістів. Використовуйте тільки каналізацію."
"menu_challenge_charliesierra_1_objective","У завданні GO Bank завершіть пограбування, винісши всі мішки з готівкою через каналізацію на складності OVERKILL або вище."
"menu_challenge_charliesierra_5","Всі яйця в одному кошику"
"menu_challenge_charliesierra_5_desc","Я хочу показати деяким потенційним новим контактам, наскільки ефективною може бути система skyhook. Йдіть до GO Bank і витягайте кожну сумку з готівкою за допомогою skyhook."
"menu_challenge_charliesierra_5_objective","У завданні GO Bank попросіть літак підняти всі сумки з готівкою за допомогою гака."
"menu_challenge_charliesierra_6","Ми всі професіонали"
"menu_challenge_charliesierra_6_desc","Справжній професіонал доводить, що може виконати роботу і безшумно, і нелетальним способом. Принаймні, якщо йдеться про цивільне населення..."
"menu_challenge_charliesierra_6_objective","У завданні GO Bank завершіть пограбування без спрацювання сигналізації і не вбиваючи цивільних на складності OVERKILL або вище."
"menu_challenge_choose_global_value","Мітка зброї"
"menu_challenge_choose_weapon","Зброя"
"menu_challenge_choose_weapon_category","Категорія зброї"
"menu_challenge_choose_weapon_mod","Мод на зброю"
"menu_challenge_claim_reward_title","Вимагаю винагороду: Мод на випадкову зброю"
"menu_challenge_clone_1","Атака клонів - Бульдозер"
"menu_challenge_clone_1_desc","Бувають випадки, коли треба повертатися за сім'єю, незважаючи на ціну, незважаючи на опір. Це єдиний спосіб виправити ситуацію зі злочинністю."
"menu_challenge_clone_1_obj","Виконайте завдання ''Втеча з Гокстона'' на складності OVERKILL або вище, з активним мутатором ''Армія клонів - Бульдозери''. Щоб виконати це завдання, ви повинні пройти пограбування від початку до кінця."
"menu_challenge_clone_2","Атака клонів - електрошокер"
"menu_challenge_clone_2_desc","Візьміть свій 10-галонний капелюх і будьте готові прийняти удар електричним струмом заради команди."
"menu_challenge_clone_2_obj","Виконайте завдання ''Велика нафта'' на складності OVERKILL або вище, з активним мутатором ''Армія клонів - електрошокери''. Щоб виконати це завдання, ви повинні пройти пограбування від початку до кінця."
